Restaurant Name,Rating,No. reviews,Price tag
Pecan Lodge,4.5,5408,$$
Ellen’s,4,2834,$$
Kenny’s Wood Fired Grill,4.5,2780,None
Velvet Taco,4.5,2762,$
Maple Leaf Diner,4.5,2718,$$
Gen Korean BBQ House,4.5,2588,None
Ida Claire,4,2581,None
Meso Maya Comida y Copas,4.5,2436,None
Rodeo Goat,4.5,2247,None
Lockhart Smokehouse,4,2069,$$
Meddlesome Moth,4,1969,$$
Bread Winners Cafe & Bakery,4,1922,$$
HG SPLY CO - Dallas,4,1709,$$
Cane Rosso,4,1680,$$
The Rustic,4,1608,$$
The Ranch,4,1581,None
rise n°1,4.5,1537,None
Uchi,4.5,1505,None
Maple and Motor,4,1479,$$
Nick & Sam’s,4,1448,$$$$
The Porch,4,1447,$$
Hopdoddy Burger Bar,4,1435,$$
Wabi House,4.5,1420,$$
Whistle Britches - Dallas,4,1377,$$
Jonathon’s Oak Cliff - Temp. CLOSED,4,1370,$$
Jeng Chi Restaurant,4,1345,None
Lazy Dog Restaurant & Bar,4,1329,None
Mike’s Chicken,4.5,1310,$
Uncle Uber’s,4.5,1302,$
Twisted Root Burger,4,1298,$$
Crushcraft Thai Eats,4,1286,$$
Oddfellows,None,1282,$$
Hopdoddy Burger Bar,4,1263,None
Spiral Diner & Bakery,4,1252,$$
Yoshi Shabu Shabu,4.5,1244,None
Taste Of Chicago,4.5,1242,None
Malai Kitchen,4,1238,$$
Amplified,None,1232,None
The Boiling Crab,4,1223,None
Andalous Mediterranean Grill,4.5,1217,None
Empa Mundo,4.5,1212,None
Serious Pizza,None,1178,$
Fuel City - Dallas,4,1176,None
Kenny’s Italian Kitchen,4.5,1154,None
Yolk - One Arts Plaza,4,1153,$$
Public School 214,4,1112,$$
Perry’s Steakhouse & Grille - Park District,4,1095,$$$
Monkey King Noodle,None,1077,$$
Pappas Bros Steakhouse,4.5,1056,None
Sixty Vines,4.5,1050,$$
CBD Provisions,4,1046,$$
Afrah Restaurant,4,1042,None
Kirin Court Chinese Restaurant,None,1031,None
Whiskey Cake,4,1027,None
Truck Yard,4,1013,$$
Beto & Son,4,1006,$$
Jimmy’s Food Store,4.5,1005,$
Bistro B,None,1004,None
Ascension Coffee - Design District,4,982,$$
Babe’s Chicken Dinner House,4,976,None
Enos Pizza Tavern,4,966,$$
The Woolworth,4,956,$$
Thai Star,4,955,None
Ten50 BBQ,None,941,None
Katy Trail Ice House,None,930,$$
Royal China,None,919,$$
Nate’s Seafood & Steakhouse,4,917,None
STIRR,None,907,$$
Ramen Hakata,None,902,None
Coffee House Café,None,901,$$
LA Burger,4.5,898,None
Eatzi’s Market & Bakery,4,896,$$
Blue Sushi Sake Grill,4,895,$$
YO Ranch Steakhouse,4,895,$$$
Sushi Sake,4,889,None
Pluckers Wing Bar - Lovers & Greenville,None,886,$$
Dallas Grilled Cheese Co,4,871,$$
Al Biernat’s,4,864,None
"Snooze, an A.M. Eatery",4.5,860,None
Omi Korean Grill & Bar,None,847,None
DaLat Vietnamese Restaurant & Bar,None,842,$$
Koryo Kalbi Korean BBQ,4,834,$$
Happiest Hour,None,832,None
Mia’s Tex-Mex Restaurant,4,812,None
Dream Cafe,None,810,$$
Fortune House Chinese Cuisine,4,807,None
Angry Dog,4,802,$$
Keller’s Drive-In,4,801,$
Truluck’s Ocean’s Finest Seafood & Crab,4,800,$$$$
Asian Mint,4,800,$$
Shell Shack,None,797,$$
Fogo de Chao - Addison,4,789,None
Streets Fine Chicken,4.5,780,$$
Vidorra,None,772,$$
Goodfriend Beer Garden & Burger House,4,767,None
Mr Max,4.5,766,None
Pie Tap Pizza Workshop + Bar,4.5,761,$$
True Food Kitchen,4,753,None
Yard House,4,748,None
E Bar Tex-Mex,4.5,748,$$
Greenville Avenue Pizza,4,742,$$
Ten Ramen,4,737,None
Kona Grill,None,733,$$
Oishii,4,727,$$
Cris and John,4.5,727,None
Eddie V’s Prime Seafood,4,725,None
Zenna,None,724,$$
Tricky Fish,4.5,715,None
Sushi Robata,4,713,$$
Toulouse Café and Bar,4,712,None
Grand Lux Cafe,None,710,$$
Torchy’s Tacos,4,710,$
LA Burger,4.5,708,None
RJ Mexican Cuisine,None,707,$$
Cattleack Barbeque,4.5,704,$$
The Slow Bone,4,702,None
Cavalli Pizza,4.5,699,None
Pappadeaux Seafood Kitchen,None,692,None
Cafe Izmir,4.5,691,$$
Kura Revolving Sushi Bar,4,691,None
Thai Thai Restaurant,4,689,$$
Si Tapas,4,686,$$
LA Burger,4.5,676,None
Hypnotic Donuts,4.5,674,$
Saint Ann Restaurant & Bar,None,669,None
Roman Cucina,4.5,667,$$
Haystack Burgers & Barley,4,660,None
Grimaldi’s Pizzeria,4,659,$$
The Henry,4,658,None
Braindead Brewing,4,657,$$
Gloria’s Latin Cuisine,None,657,None
SAINT TACO,4,657,$$
Campuzano Mexican Food,4,655,$$
Babe’s Chicken Dinner House,4,654,None
Terry Black’s Barbecue,4.5,654,$$
Off the Bone Barbeque,4,650,$$
Alamo Drafthouse Cinema Richardson,4,648,None
Italia Express,4.5,644,$$
Royal Thai,4,644,$$
Terilli’s Restaurant & Bar,4,637,$$
Chuy’s,None,632,$$
Paradiso,4,632,$$
Ocean Prime,4,630,None
